[P1] Ep 56: Loss 0.6038 | Val MAE 1.8299
[P1] Ep 57: Loss 0.6070 | Val MAE 1.8073
[P1] Ep 58: Loss 0.5958 | Val MAE 1.7770
[P1] Ep 59: Loss 0.5985 | Val MAE 1.8104
[P1] Ep 60: Loss 0.5878 | Val MAE 1.8340
[P1] Ep 61: Loss 0.5822 | Val MAE 1.8814
[P1] Ep 62: Loss 0.5823 | Val MAE 1.7514
[P1] Ep 63: Loss 0.5769 | Val MAE 1.8984
[P1] Ep 64: Loss 0.5718 | Val MAE 1.9232
[P1] Ep 65: Loss 0.5633 | Val MAE 1.9077
[P1] Ep 66: Loss 0.5590 | Val MAE 1.7294
[P1] Ep 67: Loss 0.5639 | Val MAE 1.7436
[P1] Ep 68: Loss 0.5612 | Val MAE 1.8593
[P1] Ep 69: Loss 0.5579 | Val MAE 1.8590
[P1] Ep 70: Loss 0.5518 | Val MAE 1.9489
[P1] Ep 71: Loss 0.5517 | Val MAE 1.8336
[P1] Ep 72: Loss 0.5423 | Val MAE 1.8934
[P1] Ep 73: Loss 0.5366 | Val MAE 1.7717
[P1] Ep 74: Loss 0.5325 | Val MAE 1.8725
[P1] Ep 75: Loss 0.5301 | Val MAE 1.7996
[P1] Ep 76: Loss 0.5195 | Val MAE 1.9330
[P1] Ep 77: Loss 0.5230 | Val MAE 1.7344
[P1] Ep 78: Loss 0.5123 | Val MAE 1.7437
[P1] Ep 79: Loss 0.5004 | Val MAE 1.7571
[P1] Ep 80: Loss 0.4955 | Val MAE 1.8440
[P1] Ep 81: Loss 0.4935 | Val MAE 1.9752
[P1] Ep 82: Loss 0.5017 | Val MAE 1.8620
[P1] Ep 83: Loss 0.4968 | Val MAE 1.8741
[P1] Ep 84: Loss 0.4837 | Val MAE 1.8357
[P1] Ep 85: Loss 0.4853 | Val MAE 1.8156
[P1] Ep 86: Loss 0.4788 | Val MAE 1.8846
[P1] Ep 87: Loss 0.4841 | Val MAE 1.8344
