formula,target,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Ba3Sn2,0.740207,50.000000,56.000000,6.000000,53.600000,2.880000,56.000000,9.000000,80.000000,71.000000,37.400000,34.080000,9.000000,118.710000,137.327000,18.617000,129.880200,8.936160,137.327000,505.080000,1000.000000,494.920000,802.032000,237.561600,1000.000000,2.000000,14.000000,12.000000,6.800000,5.760000,2.000000,5.000000,6.000000,1.000000,5.600000,0.480000,6.000000,139.000000,215.000000,76.000000,184.600000,36.480000,215.000000,0.890000,1.960000,1.070000,1.318000,0.513600,0.890000,2.000000,2.000000,0.000000,2.000000,0.000000,2.000000,0.000000,2.000000,2.000000,0.800000,0.960000,0.000000,0.000000,10.000000,10.000000,4.000000,4.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,14.000000,12.000000,6.800000,5.760000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,1.600000,1.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,1.600000,1.920000,0.000000,33.285000,63.590000,30.305000,51.468000,14.546400,63.590000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,141.000000,229.000000,88.000000,193.800000,42.240000,229.000000
Bi2Te3,0.056063,52.000000,83.000000,31.000000,64.400000,14.880000,52.000000,86.000000,90.000000,4.000000,88.400000,1.920000,90.000000,127.600000,208.980400,81.380400,160.152160,39.062592,127.600000,544.400000,722.660000,178.260000,651.356000,85.564800,722.660000,15.000000,16.000000,1.000000,15.600000,0.480000,16.000000,5.000000,6.000000,1.000000,5.400000,0.480000,5.000000,138.000000,148.000000,10.000000,142.000000,4.800000,138.000000,2.020000,2.100000,0.080000,2.068000,0.038400,2.100000,2.000000,2.000000,0.000000,2.000000,0.000000,2.000000,3.000000,4.000000,1.000000,3.600000,0.480000,4.000000,10.000000,10.000000,0.000000,10.000000,0.000000,10.000000,0.000000,14.000000,14.000000,5.600000,6.720000,0.000000,16.000000,29.000000,13.000000,21.200000,6.240000,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,3.000000,1.000000,2.400000,0.480000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,3.000000,1.000000,2.400000,0.480000,2.000000,32.950000,34.763333,1.813333,34.038000,0.870400,34.763333,0.000000,0.464000,0.464000,0.278400,0.222720,0.464000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,152.000000,140.000000,96.000000,67.200000,152.000000
S4V3,0.952686,16.000000,23.000000,7.000000,19.000000,3.428571,16.000000,46.000000,88.000000,42.000000,70.000000,20.571429,88.000000,32.065000,50.941500,18.876500,40.154929,9.245633,32.065000,388.360000,2183.000000,1794.640000,1157.491429,879.007347,388.360000,5.000000,16.000000,11.000000,11.285714,5.387755,16.000000,3.000000,4.000000,1.000000,3.428571,0.489796,3.000000,105.000000,153.000000,48.000000,125.571429,23.510204,105.000000,1.630000,2.580000,0.950000,2.172857,0.465306,2.580000,2.000000,2.000000,0.000000,2.000000,0.000000,2.000000,0.000000,4.000000,4.000000,2.285714,1.959184,4.000000,0.000000,3.000000,3.000000,1.285714,1.469388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,6.000000,1.000000,5.571429,0.489796,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,1.142857,0.979592,2.000000,7.000000,7.000000,3.000000,3.428571,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,7.000000,5.000000,4.142857,2.448980,2.000000,13.010000,25.786875,12.776875,20.311071,6.258061,25.786875,0.000000,2.202000,2.202000,1.258286,1.078531,2.202000,0.000000,0.000000,0.000000,0.000000,0.000000,70.000000,229.000000,159.000000,138.142857,77.877551,70.000000
Na1Nb1O3,2.807750,8.000000,41.000000,33.000000,15.200000,10.320000,8.000000,2.000000,87.000000,85.000000,62.000000,30.000000,87.000000,15.999400,92.906380,76.906980,32.778870,24.051004,15.999400,54.800000,2750.000000,2695.200000,657.054000,837.178400,54.800000,1.000000,16.000000,15.000000,10.800000,6.240000,16.000000,2.000000,5.000000,3.000000,2.800000,0.960000,2.000000,66.000000,166.000000,100.000000,105.600000,47.520000,66.000000,0.930000,3.440000,2.510000,2.570000,1.044000,3.440000,1.000000,2.000000,1.000000,1.600000,0.480000,2.000000,0.000000,4.000000,4.000000,2.400000,1.920000,4.000000,0.000000,4.000000,4.000000,0.800000,1.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,6.000000,5.000000,4.800000,1.520000,6.000000,0.000000,1.000000,1.000000,0.400000,0.480000,0.000000,0.000000,2.000000,2.000000,1.200000,0.960000,2.000000,6.000000,6.000000,1.200000,1.920000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,7.000000,6.000000,2.800000,1.680000,2.000000,9.105000,29.243333,20.138333,14.947667,7.011200,9.105000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,229.000000,217.000000,98.800000,104.160000,12.000000
As2Ge1Zn1,0.835053,30.000000,33.000000,3.000000,32.000000,1.000000,33.000000,69.000000,84.000000,15.000000,79.000000,5.000000,84.000000,65.380000,74.921600,9.541600,71.965800,3.292900,74.921600,692.680000,1211.400000,518.720000,1021.020000,164.170000,1090.000000,12.000000,15.000000,3.000000,14.000000,1.000000,15.000000,4.000000,4.000000,0.000000,4.000000,0.000000,4.000000,119.000000,122.000000,3.000000,120.000000,1.000000,119.000000,1.650000,2.180000,0.530000,2.005000,0.177500,2.180000,2.000000,2.000000,0.000000,2.000000,0.000000,2.000000,0.000000,3.000000,3.000000,2.000000,1.000000,3.000000,10.000000,10.000000,0.000000,10.000000,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,15.000000,3.000000,14.000000,1.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,2.500000,1.250000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,2.500000,1.250000,3.000000,13.960000,23.005000,9.045000,20.328750,3.184375,22.175000,0.000000,0.383000,0.383000,0.095750,0.143625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,166.000000,225.000000,59.000000,187.750000,21.750000,166.000000
Sc1Se2Tl1,1.166394,21.000000,81.000000,60.000000,42.500000,19.250000,34.000000,11.000000,89.000000,78.000000,66.250000,27.625000,89.000000,44.955912,204.383300,159.427388,101.814803,51.284248,78.960000,494.000000,1814.000000,1320.000000,844.750000,484.625000,494.000000,3.000000,16.000000,13.000000,12.000000,4.500000,16.000000,4.000000,6.000000,2.000000,4.500000,0.750000,4.000000,120.000000,170.000000,50.000000,138.750000,18.750000,120.000000,1.360000,2.550000,1.190000,2.020000,0.530000,2.550000,2.000000,2.000000,0.000000,2.000000,0.000000,2.000000,0.000000,4.000000,4.000000,2.250000,1.750000,4.000000,1.000000,10.000000,9.000000,7.750000,3.375000,10.000000,0.000000,14.000000,14.000000,3.500000,5.250000,0.000000,3.000000,27.000000,24.000000,15.500000,6.250000,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,5.000000,2.250000,1.375000,2.000000,9.000000,9.000000,2.250000,3.375000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,9.000000,7.000000,4.500000,2.500000,2.000000,22.235000,26.910000,4.675000,25.246250,1.505625,25.920000,0.000000,0.799000,0.799000,0.399500,0.399500,0.799000,0.000006,0.000006,0.000002,0.000002,0.000000,14.000000,194.000000,180.000000,104.000000,90.000000,14.000000
Br3Nb1Te1,1.517890,35.000000,52.000000,17.000000,39.600000,5.520000,35.000000,47.000000,95.000000,48.000000,84.400000,14.960000,95.000000,79.904000,127.600000,47.696000,92.043676,14.567611,79.904000,265.800000,2750.000000,2484.200000,854.012000,758.395200,265.800000,5.000000,17.000000,12.000000,14.400000,3.760000,17.000000,4.000000,5.000000,1.000000,4.400000,0.480000,4.000000,120.000000,164.000000,44.000000,132.400000,14.880000,120.000000,1.600000,2.960000,1.360000,2.516000,0.532800,2.960000,1.000000,2.000000,1.000000,1.800000,0.320000,2.000000,0.000000,5.000000,5.000000,3.800000,1.520000,5.000000,4.000000,10.000000,6.000000,8.800000,1.920000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,17.000000,12.000000,14.400000,3.760000,17.000000,0.000000,1.000000,1.000000,0.200000,0.320000,0.000000,0.000000,2.000000,2.000000,1.000000,0.400000,1.000000,6.000000,6.000000,1.200000,1.920000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,7.000000,6.000000,2.400000,1.840000,1.000000,18.180000,34.763333,16.583333,28.276667,4.038667,29.480000,0.000000,1.457000,1.457000,0.967000,0.588000,1.457000,0.000000,0.000000,0.000000,0.000000,0.000000,64.000000,229.000000,165.000000,114.600000,60.720000,64.000000
Br3Ga1Li1,3.952743,3.000000,35.000000,32.000000,27.800000,9.920000,35.000000,1.000000,95.000000,94.000000,72.000000,28.400000,95.000000,6.941000,79.904000,72.963000,63.275200,22.533680,79.904000,265.800000,453.690000,187.890000,310.800000,57.156000,265.800000,1.000000,17.000000,16.000000,13.000000,4.800000,17.000000,2.000000,4.000000,2.000000,3.600000,0.640000,4.000000,120.000000,128.000000,8.000000,122.000000,2.400000,120.000000,0.980000,2.960000,1.980000,2.334000,0.751200,2.960000,1.000000,2.000000,1.000000,1.800000,0.320000,2.000000,0.000000,5.000000,5.000000,3.200000,2.160000,5.000000,0.000000,10.000000,10.000000,8.000000,3.200000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,17.000000,16.000000,13.000000,4.800000,17.000000,0.000000,1.000000,1.000000,0.200000,0.320000,0.000000,0.000000,5.000000,5.000000,1.600000,1.360000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,5.000000,4.000000,1.800000,1.280000,1.000000,16.593333,29.480000,12.886667,24.778167,5.642200,29.480000,0.000000,1.457000,1.457000,0.874200,0.699360,1.457000,0.000000,0.000000,0.000000,0.000000,0.000000,64.000000,229.000000,165.000000,97.000000,52.800000,64.000000
F4Te1,5.203724,9.000000,52.000000,43.000000,17.600000,13.760000,9.000000,90.000000,93.000000,3.000000,92.400000,0.960000,93.000000,18.998403,127.600000,108.601597,40.718723,34.752511,18.998403,53.500000,722.660000,669.160000,187.332000,214.131200,53.500000,16.000000,17.000000,1.000000,16.800000,0.320000,17.000000,2.000000,5.000000,3.000000,2.600000,0.960000,2.000000,57.000000,138.000000,81.000000,73.200000,25.920000,57.000000,2.100000,3.980000,1.880000,3.604000,0.601600,3.980000,2.000000,2.000000,0.000000,2.000000,0.000000,2.000000,4.000000,5.000000,1.000000,4.800000,0.320000,5.000000,0.000000,10.000000,10.000000,2.000000,3.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.000000,16.000000,9.000000,8.800000,2.880000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,1.000000,1.200000,0.320000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,1.000000,1.200000,0.320000,1.000000,9.707500,34.763333,25.055833,14.718667,8.017867,9.707500,0.464000,1.970000,1.506000,1.668800,0.481920,1.970000,0.000000,0.000000,0.000000,0.000000,0.000000,15.000000,152.000000,137.000000,42.400000,43.840000,15.000000
Mo2O23P4Si4,3.020522,8.000000,42.000000,34.000000,11.636364,5.068871,8.000000,50.000000,87.000000,37.000000,83.181818,5.322314,87.000000,15.999400,95.960000,79.960600,24.125553,11.327365,15.999400,54.800000,2896.000000,2841.200000,456.654545,593.943802,54.800000,6.000000,16.000000,10.000000,15.030303,1.351699,16.000000,2.000000,5.000000,3.000000,2.424242,0.591368,2.000000,66.000000,154.000000,88.000000,81.757576,21.965106,66.000000,1.900000,3.440000,1.540000,3.024242,0.579541,3.440000,1.000000,2.000000,1.000000,1.939394,0.113866,2.000000,0.000000,4.000000,4.000000,3.393939,0.844812,4.000000,0.000000,5.000000,5.000000,0.303030,0.569330,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,6.000000,2.000000,5.636364,0.550964,6.000000,0.000000,1.000000,1.000000,0.060606,0.113866,0.000000,0.000000,4.000000,4.000000,2.242424,0.609734,2.000000,5.000000,5.000000,0.303030,0.569330,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,6.000000,4.000000,2.606061,0.844812,2.000000,9.105000,22.570238,13.465238,12.510180,4.746615,9.105000,0.000000,1.625000,1.625000,0.290667,0.440404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,229.000000,227.000000,50.000000,64.606061,12.000000
La1Mn3O12V4,0.229668,8.000000,57.000000,49.000000,16.000000,9.600000,8.000000,13.000000,87.000000,74.000000,69.850000,20.580000,87.000000,15.999400,138.905470,122.906070,34.973920,22.769424,15.999400,54.800000,2183.000000,2128.200000,756.980000,842.616000,54.800000,3.000000,16.000000,13.000000,11.800000,5.040000,16.000000,2.000000,6.000000,4.000000,2.900000,1.080000,2.000000,66.000000,207.000000,141.000000,101.400000,42.480000,66.000000,1.100000,3.440000,2.340000,2.677500,0.915000,3.440000,2.000000,2.000000,0.000000,2.000000,0.000000,2.000000,0.000000,4.000000,4.000000,2.400000,1.920000,4.000000,0.000000,5.000000,5.000000,1.400000,1.720000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,7.000000,4.000000,5.800000,0.600000,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,1.200000,0.960000,2.000000,9.000000,9.000000,2.600000,3.120000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,9.000000,7.000000,3.800000,2.160000,2.000000,9.105000,36.897500,27.792500,11.483013,3.152244,9.105000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000310,0.000310,0.000047,0.000079,0.000000,12.000000,229.000000,217.000000,95.250000,99.900000,12.000000
Cs2Te2,1.780373,52.000000,55.000000,3.000000,53.500000,1.500000,52.000000,5.000000,90.000000,85.000000,47.500000,42.500000,5.000000,127.600000,132.905452,5.305452,130.252726,2.652726,127.600000,301.590000,722.660000,421.070000,512.125000,210.535000,301.590000,1.000000,16.000000,15.000000,8.500000,7.500000,1.000000,5.000000,6.000000,1.000000,5.500000,0.500000,5.000000,138.000000,244.000000,106.000000,191.000000,53.000000,138.000000,0.790000,2.100000,1.310000,1.445000,0.655000,0.790000,1.000000,2.000000,1.000000,1.500000,0.500000,1.000000,0.000000,4.000000,4.000000,2.000000,2.000000,0.000000,0.000000,10.000000,10.000000,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,16.000000,15.000000,8.500000,7.500000,1.000000,0.000000,1.000000,1.000000,0.500000,0.500000,0.000000,0.000000,2.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,2.000000,1.000000,1.500000,0.500000,1.000000,34.763333,115.765000,81.001667,75.264167,40.500833,34.763333,0.000000,0.464000,0.464000,0.232000,0.232000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,152.000000,229.000000,77.000000,190.500000,38.500000,152.000000
As2Ba4O1,1.206106,8.000000,56.000000,48.000000,42.571429,15.346939,56.000000,9.000000,87.000000,78.000000,41.571429,37.224490,9.000000,15.999400,137.327000,121.327600,102.164371,40.185861,137.327000,54.800000,1090.000000,1035.200000,890.685714,238.824490,1000.000000,2.000000,16.000000,14.000000,7.714286,6.530612,2.000000,2.000000,6.000000,4.000000,4.857143,1.306122,6.000000,66.000000,215.000000,149.000000,166.285714,55.673469,215.000000,0.890000,3.440000,2.550000,1.622857,0.837551,0.890000,2.000000,2.000000,0.000000,2.000000,0.000000,2.000000,0.000000,4.000000,4.000000,1.428571,1.632653,0.000000,0.000000,10.000000,10.000000,2.857143,4.081633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,15.000000,13.000000,6.285714,4.979592,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,1.142857,1.306122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,1.142857,1.306122,0.000000,9.105000,63.590000,54.485000,43.973571,22.418776,63.590000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,229.000000,217.000000,180.000000,56.000000,229.000000
O5Se2,4.191422,8.000000,34.000000,26.000000,15.428571,10.612245,8.000000,87.000000,89.000000,2.000000,87.571429,0.816327,87.000000,15.999400,78.960000,62.960600,33.988143,25.698204,15.999400,54.800000,494.000000,439.200000,180.285714,179.265306,54.800000,16.000000,16.000000,0.000000,16.000000,0.000000,16.000000,2.000000,4.000000,2.000000,2.571429,0.816327,2.000000,66.000000,120.000000,54.000000,81.428571,22.040816,66.000000,2.550000,3.440000,0.890000,3.185714,0.363265,3.440000,2.000000,2.000000,0.000000,2.000000,0.000000,2.000000,4.000000,4.000000,0.000000,4.000000,0.000000,4.000000,0.000000,10.000000,10.000000,2.857143,4.081633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,16.000000,10.000000,8.857143,4.081633,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,0.000000,2.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,2.000000,0.000000,2.000000,0.000000,2.000000,9.105000,25.920000,16.815000,13.909286,6.863265,9.105000,0.000000,0.799000,0.799000,0.228286,0.326122,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,14.000000,2.000000,12.571429,0.816327,12.000000
Hg2O7Ru2,0.091571,8.000000,80.000000,72.000000,27.636364,24.991736,8.000000,56.000000,87.000000,31.000000,78.454545,10.876033,87.000000,15.999400,200.590000,184.590600,65.028709,62.400939,15.999400,54.800000,2607.000000,2552.200000,551.476364,747.463140,54.800000,8.000000,16.000000,8.000000,13.818182,2.776860,16.000000,2.000000,6.000000,4.000000,3.272727,1.619835,2.000000,66.000000,146.000000,80.000000,92.545455,33.785124,66.000000,2.000000,3.440000,1.440000,2.952727,0.620165,3.440000,1.000000,2.000000,1.000000,1.818182,0.297521,2.000000,0.000000,4.000000,4.000000,2.545455,1.851240,4.000000,0.000000,10.000000,10.000000,3.090909,3.933884,0.000000,0.000000,14.000000,14.000000,2.545455,4.165289,0.000000,6.000000,26.000000,20.000000,10.000000,5.818182,6.000000,0.000000,1.000000,1.000000,0.181818,0.297521,0.000000,0.000000,2.000000,2.000000,1.272727,0.925620,2.000000,3.000000,3.000000,0.545455,0.892562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,4.000000,2.000000,0.727273,2.000000,9.105000,25.237586,16.132586,12.839107,4.752499,9.105000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.000000,194.000000,182.000000,73.090909,77.752066,12.000000
Au3C6K1N6Ni1,3.306927,6.000000,79.000000,73.000000,21.294118,21.155709,6.000000,3.000000,82.000000,79.000000,71.529412,11.252595,77.000000,12.010700,196.966569,184.955869,49.693871,53.037367,12.010700,63.050000,3823.000000,3759.950000,1728.989412,1478.125121,63.050000,1.000000,15.000000,14.000000,12.823529,2.366782,14.000000,2.000000,6.000000,4.000000,2.941176,1.328720,2.000000,71.000000,203.000000,132.000000,95.117647,30.519031,71.000000,0.820000,3.040000,2.220000,2.581765,0.323460,2.550000,1.000000,2.000000,1.000000,1.764706,0.359862,2.000000,0.000000,3.000000,3.000000,1.764706,1.038062,2.000000,0.000000,10.000000,10.000000,2.235294,3.418685,0.000000,0.000000,14.000000,14.000000,2.470588,4.069204,0.000000,1.000000,25.000000,24.000000,8.235294,6.124567,4.000000,0.000000,1.000000,1.000000,0.235294,0.359862,0.000000,0.000000,4.000000,4.000000,2.470588,1.453287,3.000000,2.000000,2.000000,0.117647,0.221453,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,4.000000,3.000000,2.823529,0.955017,3.000000,5.640000,73.106667,67.466667,15.057598,7.408973,5.640000,0.000000,6.437000,6.437000,3.858706,2.269827,4.496000,0.595395,0.595395,0.035023,0.065926,0.000000,194.000000,229.000000,35.000000,203.352941,13.204152,194.000000
Al2Fe1S4,1.875384,13.000000,26.000000,13.000000,16.571429,2.693878,16.000000,55.000000,88.000000,33.000000,79.000000,10.285714,88.000000,26.981539,55.845000,28.863461,34.009725,6.238650,32.065000,388.360000,1811.000000,1422.640000,747.340000,410.262857,388.360000,8.000000,16.000000,8.000000,14.000000,2.285714,16.000000,3.000000,4.000000,1.000000,3.142857,0.244898,3.000000,105.000000,132.000000,27.000000,113.428571,9.632653,105.000000,1.610000,2.580000,0.970000,2.195714,0.439184,2.580000,2.000000,2.000000,0.000000,2.000000,0.000000,2.000000,0.000000,4.000000,4.000000,2.571429,1.632653,4.000000,0.000000,6.000000,6.000000,0.857143,1.469388,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,8.000000,5.000000,5.428571,1.387755,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.000000,5.000000,2.571429,1.387755,2.000000,4.000000,4.000000,0.571429,0.979592,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,5.000000,3.000000,3.142857,1.306122,2.000000,10.730000,25.786875,15.056875,20.976786,5.497245,25.786875,0.000000,2.202000,2.202000,1.258286,1.078531,2.202000,2.110663,2.110663,0.301523,0.516897,0.000000,70.000000,229.000000,159.000000,137.000000,76.571429,70.000000
Lu1Rb1S2,3.315142,16.000000,71.000000,55.000000,35.000000,19.000000,16.000000,4.000000,88.000000,84.000000,55.250000,32.750000,88.000000,32.065000,174.966800,142.901800,81.141150,49.076150,32.065000,312.460000,1936.000000,1623.540000,756.295000,589.852500,388.360000,1.000000,16.000000,15.000000,9.000000,7.000000,16.000000,3.000000,6.000000,3.000000,4.250000,1.250000,3.000000,105.000000,220.000000,115.000000,154.250000,49.250000,105.000000,0.820000,2.580000,1.760000,1.812500,0.767500,2.580000,1.000000,2.000000,1.000000,1.750000,0.375000,2.000000,0.000000,4.000000,4.000000,2.000000,2.000000,4.000000,0.000000,1.000000,1.000000,0.250000,0.375000,0.000000,0.000000,14.000000,14.000000,3.500000,5.250000,0.000000,1.000000,17.000000,16.000000,7.500000,4.750000,6.000000,0.000000,1.000000,1.000000,0.250000,0.375000,0.000000,0.000000,2.000000,2.000000,1.000000,1.000000,2.000000,9.000000,9.000000,2.250000,3.375000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,9.000000,8.000000,3.500000,2.750000,2.000000,25.786875,90.722500,64.935625,42.790312,23.966094,25.786875,0.000000,2.202000,2.202000,1.101000,1.101000,2.202000,0.002247,0.002247,0.000562,0.000843,0.000000,70.000000,229.000000,159.000000,140.750000,70.750000,70.000000
