material formula,Band_gap_GGA,Band_gap_HSE,Band_gap_GGA_optical,Band_gap_HSE_optical
Ag10C2F8,2.037844,3.294992,2.266085,3.294992
Ag1Al1Cs1F6,0.0,2.143879,0.0,2.143879
Ag1Al1O2,0.84594,2.390096,3.807256,5.558663
Ag1Al1S2,1.891728,3.055806,1.891728,3.055806
Ag1Al1Se2,1.137147,2.1662359999999996,1.137147,2.1662359999999996
Ag1Al1Te2,1.07639,1.838293,1.07639,1.838293
Ag1As1Ba1,0.0,0.5201560000000001,0.0,0.5201560000000001
Ag1As1Ca1,0.0,0.161867,0.0,1.386369
Ag1As1Cs2S4,1.489848,2.587537,1.86965,2.987947
Ag1As1F10Xe2,1.862139,3.551059,2.330064,4.147475
Ag1As1F6Se3,1.623,2.687754,1.940482,2.993211
Ag1As1Hg1S3,1.150497,1.97659,2.024036,2.968473
Ag1As1Hg2O4,0.726702,1.692346,0.726702,1.692346
Ag1As1K2,1.119908,1.734808,2.202863,2.958342
Ag1As1Na2,0.684651,1.229253,0.684651,1.229253
Ag1As1Pb1S3,1.173072,1.935167,1.548547,1.935167
Ag1As1S1,0.0,0.476823,0.0,0.65611
Ag1As1S2,1.426179,2.3322490000000005,1.885696,2.827071
Ag1As1Se1,0.0,0.07765100000000036,0.0,0.07765100000000036
Ag1As1Se2,0.0,0.32471599999999956,0.0,2.416904
Ag1As1Sr1,0.0,0.3509380000000002,0.0,0.3509380000000002
Ag1As3Cu4O12,0.915572,3.04123,1.168122,3.326868
Ag1As3H2O9,0.694418,2.250247,2.333341,3.977117
Ag1Au1Ba4O6,1.959881,2.980427,2.16822,3.195948
Ag1Au1Cl4,0.846528,2.014716,1.230426,2.436024
Ag1Au1Cl6Cs2,0.759537,1.507505,3.692028,4.969828
Ag1Au1F4,1.082826,2.520362,1.478505,2.947985
Ag1Au1Te4,0.0,0.021204,0.0,0.8429
Ag1Au2F8,0.29665,2.060208,0.29665,2.134111
Ag1Au3I8Rb2,0.812729,1.360323,1.130218,1.360323
Ag1B3O5,2.222712,3.945052,4.301544,6.187179
Ag1Ba1F1Se1,1.253241,2.234553,1.253241,2.234553
Ag1Ba1F1Te1,1.521543,2.348404,1.521543,2.348404
Ag1Ba1La1Se3,1.604719,2.326826,2.117706,3.053899
Ag1Ba1P1,0.121138,0.7105160000000001,0.797707,1.377972
Ag1Ba1S3Sb1,1.327256,2.064838,1.475865,2.064838
Ag1Ba1Sb1,0.0,0.5195530000000002,0.0,1.160848
Ag1Ba1Se3Y1,1.324094,2.136067,2.044198,3.020795
Ag1Ba1Te3Y1,0.763006,1.429816,1.453888,2.24716
Ag1Ba2In1S4,1.6843169999999996,2.6432170000000004,1.6843169999999996,2.6432170000000004
Ag1Bi1Br6Cs2,1.298135,2.162012,2.73905,3.582351
Ag1Bi1Ca1,0.0,0.236947,0.0,0.762402
Ag1Bi1Cl2S1,1.080963,1.995081,1.080963,1.995081
Ag1Bi1Cl6Cs2,1.812356,2.849919,3.127004,4.127443
Ag1Bi1Cr2O8,1.472881,2.357544,1.828598,2.793924
Ag1Bi1Cr4O14,1.917619,3.013278,2.115466,3.18636
Ag1Bi1K2,0.736109,1.203609,1.654262,2.253595
Ag1Bi1O8W2,2.514819,3.797539,2.725204,4.022198
Ag1Bi1P2S6,1.166888,1.97762,2.176811,3.081792
Ag1Bi1P2Se6,1.199719,2.077407,1.811073,2.643335
Ag1Bi1S2,0.476453,1.090961,1.378221,2.11656
Ag1Bi1Se2,0.049785,0.427797,1.251507,1.725211
Ag1Bi2Cl1S3,0.796627,1.484521,1.906635,2.639355
Ag1Bi2Cl1Se3,0.517763,1.103107,1.60674,2.22639
Ag1Bi2F12,0.218723,2.450174,1.168853,3.171062
Ag1Bi3S5,0.451375,1.0127920000000001,0.620286,1.179832
Ag1Br1,0.671593,2.013035,6.467411,8.241479
Ag1Br13Mo6,2.025862,3.1114479999999998,2.025862,3.1114479999999998
Ag1Br1H3N1,2.638943,3.95534,4.326872,5.683958
Ag1Br1Hg1S1,1.241031,2.331397,2.360839,3.514773
Ag1Br1O1Pb1,0.041666,1.068393,0.041666,1.068393
Ag1Br2Cs1,1.819333,3.096206,4.142716,5.451418
Ag1Br3Cs2,2.75736,4.042447,2.75736,4.042447
Ag1Br3Rb2,2.646834,3.950965,3.401833,4.755387
Ag1Br5Pb2,1.958661,3.0504420000000003,1.958661,3.0504420000000003
Ag1C1F3O3S1,2.6569190000000003,4.554208,4.264372,6.259763
Ag1C1H3N2,2.2289649999999996,3.381309,3.000636,4.231164
Ag1C1K1O3,2.252553,3.740377,2.900755,4.338466
Ag1C1N1,2.940288,4.286318,4.735533,6.203966
Ag1C1N1O1,3.154054,4.259021,3.218158,4.342633
Ag1C1N1S1,2.616013,3.680051,3.759496,4.924318
Ag1C1N3O2,2.212373,3.704054,2.610829,4.144745
Ag1C2Cl2F6N2Sb1,2.957716,4.484769,3.373189,4.93638
Ag1C2Cs1,2.516797,3.472215,2.516797,3.472215
Ag1C2H1N2O1Pb1S1,1.3973739999999997,2.1606189999999996,1.474105,2.210208
Ag1C2K1,2.399725,3.371901,5.325505,6.456896
Ag1C2Li1,1.308579,2.280355,5.204619,6.359461
Ag1C2N2Na1,2.576314,3.766462,3.770824,5.11329
Ag1C2O2,1.20222,2.4286649999999996,2.231575,2.4286649999999996
Ag1C4Co1O4,2.498679,3.537611,2.631533,3.676288
Ag1C4N3,3.357065,4.67318,3.448682,4.799233
Ag1C5Cs2N5S5Zn1,3.1444340000000004,4.333575,3.369556,4.558424
Ag1Ca1P1,0.116559,0.19186999999999976,0.972866,0.19186999999999976
Ag1Ca1Sb1,0.0,0.3676440000000003,0.0,0.823199
Ag1Cd1O4V1,1.852829,3.433337,2.430748,3.647342
Ag1Cd2Ga1S4,1.015877,2.092385,1.015877,2.092385
Ag1Cl1,0.904581,2.405207,6.393053,8.331936
Ag1Cl1O2,0.616087,2.182708,1.883042,3.513298
Ag1Cl1O3,2.325548,4.20993,3.885047,5.738417
Ag1Cl1O4,2.526893,4.446148,6.295913,8.234572
Ag1Cl1O4Pb4,2.330909,3.194673,2.495161,3.437843
Ag1Cl2Cs1,2.216312,3.657946,4.654138,6.151337
Ag1Cl3Cs1,0.0,0.021304,0.0,4.571566
Ag1Cl3Rb2,2.927575,4.4043220000000005,2.927575,4.4043220000000005
Ag1Co1O2,0.189223,1.440709,0.507988,1.810989
Ag1Co1O4P1,1.810657,3.413494,2.487511,4.542168
Ag1Cr1O2,1.632221,2.899923,3.082088,4.629713
Ag1Cr1P2S6,1.000199,1.938362,1.212399,1.938362
Ag1Cr1S2,0.58384,1.482975,2.048311,2.983369
Ag1Cr1Te2,0.0,0.19340899999999994,0.0,1.134041
Ag1Cr2H4O10Sc1,1.484641,2.302291,1.587827,2.418054
Ag1Cr3O8,1.00246,1.94489,1.369008,2.244098
Ag1Cs1N2O6,2.609377,4.439147,2.972052,4.87456
Ag1Cs1O1,1.461365,2.745141,1.461365,2.745141
Ag1Cs1P1Se3,1.362999,2.313418,2.01664,3.073068
Ag1Cs1Se4,1.2176,2.052412,1.318104,2.15969
Ag1Cs2F4,0.20315699999999998,2.345506,0.610799,2.584052
Ag1Cs2F6K1,0.62853,2.764934,0.870072,3.018861
Ag1Cs2I3,2.65807,3.746489,2.65807,3.746489
Ag1Cs2Nb1S4,2.218596,3.142943,2.402762,3.342138
Ag1Cs2Nb1Se4,1.817097,2.645324,2.073674,2.914994
Ag1Cs2S4Sb1,1.446497,2.491449,1.880677,2.491449
Ag1Cs2S4Ta1,2.58846,3.511571,2.774079,3.721858
Ag1Cs2S4V1,1.58958,2.204025,1.810519,2.456525
Ag1Cs5O9Si3,2.79909,4.322567,3.244564,4.597704
Ag1Cu1F3,1.312536,3.7535819999999998,1.437408,3.7535819999999998
Ag1Cu1O4P1,0.585286,2.157499,0.669983,2.254125
Ag1Cu1O4V1,0.937776,2.666034,1.06809,2.796622
Ag1Cu1S1,0.611795,1.251828,1.48399,1.251828
Ag1Cu2P1S4,1.403779,2.390277,2.031345,2.990222
Ag1F1,0.0,1.25455,0.0,8.336673
Ag1F10P1Xe2,1.104735,2.044617,1.459442,2.405367
Ag1F11Na1Zr2,0.60237,2.957515,5.224715,7.439363
Ag1F11Pd1Zr2,0.551833,2.780484,0.779388,3.013024
Ag1F12Sb2,0.369231,2.81117,4.463708,7.160158
Ag1F12Ta2,0.7251280000000002,3.190341,5.054196,7.38576
Ag1F1S1Sr1,1.254096,2.312078,1.254096,2.312078
Ag1F1Se1Sr1,1.0671210000000002,2.039965,1.0671210000000002,2.039965
Ag1F1Sr1Te1,1.321603,2.138427,1.321603,2.138427
Ag1F3Zn1,1.867372,3.579519,8.350566,10.150023
Ag1F4H8Mn1O4,0.0,1.751207,0.0,6.404708
Ag1F4K1,1.829391,3.719233,2.002506,3.907706
Ag1F4K2,0.420153,2.897303,0.524701,3.019661
Ag1F4Na1,1.512535,3.337537,1.890944,3.751392
Ag1F4Na2,0.65297,2.949394,0.72694,3.025105
Ag1F6Pd1,0.241175,2.197446,1.705484,2.480944
Ag1F6Sb1,1.655065,3.538918,1.655065,3.538918
Ag1F6Sn1,0.251584,2.664888,2.957787,5.379394
Ag1F6Ti1,0.172653,2.322284,3.019815,4.986246
Ag1F7Ir1,0.061293,1.480644,0.088093,1.630831
Ag1F9Xe1,1.521364,3.132798,1.675894,3.40613
Ag1Fe1O2,1.2230359999999996,2.4794460000000003,1.618359,2.846913
Ag1Fe1O6Se2,1.684858,2.936438,1.803376,2.936438
Ag1Fe1O7V2,1.413167,2.427155,1.669565,2.427155
Ag1Fe2Ga1Te4,1.278177,1.991083,1.278177,1.991083
Ag1Fe2S3,1.2068699999999999,2.184133,1.273962,2.225451
Ag1Ga1O2,0.210073,1.653232,3.006833,4.703637
Ag1Ga1P2Se6,0.548871,1.390136,1.500386,2.383669
Ag1Ga1S2,0.905913,1.9857969999999998,0.905913,1.9857969999999998
Ag1Ga1Se2,0.2437109999999998,1.2368679999999999,0.2437109999999998,1.2368679999999999
Ag1Ga1Te2,0.227571,0.904909,0.227571,0.904909
Ag1Ge1La3S7,1.957509,2.888123,2.359822,3.375524
Ag1Ge2Na5S7,1.704363,2.80012,2.456786,3.589868
Ag1Ge2O12P3,2.2690040000000002,4.1683069999999995,2.2690040000000002,4.1683069999999995
Ag1H2Na1O4S2,1.905525,3.243006,1.905525,3.243006
Ag1H2O4V1,1.961019,3.103427,2.025763,3.103427
Ag1H4Mo1N1S4,1.243615,1.972149,1.65964,2.422224
Ag1H4N1S4W1,1.658038,2.431259,2.065759,2.876589
Ag1Hf1Rb1Te3,0.235177,0.744525,0.424779,0.962946
Ag1Hg1I1S1,1.140222,2.157059,2.151232,3.221346
Ag1Hg1O4V1,1.198883,2.638469,1.701758,2.931055
Ag1Hg2N1O5,0.415049,1.844451,1.995919,3.564826
Ag1Hg2O4P1,1.200399,2.229886,1.200399,2.229886
Ag1Hg3O6Sb1,0.673361,1.863856,0.673361,1.863856
Ag1I1,1.338733,2.488344,1.338733,2.488344
Ag1I1O3,2.287747,3.691648,2.586733,4.031943
Ag1I1O4,0.0,1.011294,0.0,3.110484
Ag1I1Se3,1.322154,2.2495779999999996,1.472978,2.398291
Ag1I1Te3,0.925883,1.6211499999999996,1.085694,1.787682
Ag1I2Tl1,1.562408,2.249163,2.949005,2.249163
Ag1I3K2,2.572374,3.6665460000000003,3.216875,4.34868
Ag1I3O9Pd1,1.2921459999999998,2.804656,1.689628,3.366761
Ag1I3Rb2,2.566776,3.666182,3.165202,4.298862
Ag1I3Tl2,2.302644,3.189507,2.767855,3.656709
Ag1I5Tl3,1.031397,1.798261,1.615526,2.409877
Ag1In1O2,0.154163,1.407334,3.349801,5.54794
Ag1In1O8W2,0.792268,2.118964,0.822996,2.154021
Ag1In1P2S6,1.087767,2.088778,1.833839,2.873662
Ag1In1P2Se6,0.538007,1.387156,1.58705,2.469831
Ag1In1S2,0.287844,1.2639,0.287844,1.2639
Ag1In1Se2,0.018415,0.7379900000000001,2.573503,0.7379900000000001
Ag1In1Te2,0.059662,0.7147069999999998,0.059662,0.7147069999999998
Ag1In5Se8,0.230802,1.0597299999999998,1.555221,2.440571
Ag1In5Te8,0.284829,0.912684,0.284829,0.912684
Ag1K1N2O6,2.396933,4.197526,2.819234,4.197526
Ag1K1O1,1.466414,2.809626,3.157014,4.624844
Ag1K1O6P2,2.861953,4.693617,2.861953,4.693617
Ag1K1Se1,0.473079,1.3684910000000001,0.473079,1.3684910000000001
Ag1K2Nb1S4,2.119317,3.03595,2.364256,3.03595
Ag1K2P1,1.215124,1.845227,2.532162,3.33245
Ag1K2S4Sb1,1.069901,2.074138,1.50475,2.074138
Ag1K2S4Ta1,2.46838,3.379195,2.46838,3.379195
Ag1K2S4V1,1.525048,2.279966,1.733429,2.409899
Ag1K2Sb1,1.1726,1.7324129999999998,2.096665,2.799655
Ag1K2Se4V1,1.189953,1.874215,1.49768,2.092186
Ag1K3Se8Sn3,1.107226,1.96219,1.594695,2.417109
Ag1La1O1S1,1.378346,2.473914,1.378346,2.473914
Ag1La1O4Ti1,1.484807,3.057938,3.322033,4.904415
Ag1La3S7Si1,2.000518,2.875283,2.607388,3.671643
Ag1La3S7Sn1,1.868281,2.881473,2.386825,3.439128
Ag1La3Se7Si1,1.664837,2.443941,2.127134,3.141538
Ag1La3Se7Sn1,1.246136,2.04707,1.578741,2.401865
Ag1Li2Sb1,0.178726,0.8709910000000001,0.178726,0.8709910000000001
Ag1Lu1O2,2.1175800000000002,3.50209,5.011915,6.633017
Ag1Lu1Se2,1.2108659999999998,2.0752839999999995,1.2108659999999998,2.0752839999999995
Ag1Mg1O4V1,2.181213,3.551923,2.478336,3.626046
Ag1Mg1Sb1,0.0,0.3600949999999994,0.0,1.581842
Ag1Mn1O4,1.085179,1.069216,1.120937,1.069216
Ag1Mn1O4P1,1.735677,3.305978,2.779224,4.392817
Ag1Mn1O4V1,1.9745,3.040452,2.457534,3.244475
Ag1N1O2,1.721322,3.325447,5.635334,7.180617
Ag1N1O3,1.75657,3.4689970000000003,2.882975,4.686773
Ag1N2Na1O4,2.29428,4.027926,2.447397,4.23054
Ag1N2O6Rb1,2.41473,4.247861,2.843092,4.696551
Ag1N3,1.547412,2.713634,1.547412,2.713634
Ag1Na1O1,1.274934,2.402114,3.165714,4.421673
Ag1Na1O3S2,2.69656,3.95316,3.062222,4.288526
Ag1Na2Sb1,0.607131,1.108,1.738326,2.399642
Ag1Na3O2,1.206962,2.306442,2.847482,4.12894
Ag1Na3S2,2.269988,3.272071,4.005732,5.127374
Ag1Nb1O3,1.370589,2.606289,3.919426,5.391466
Ag1Nb1Rb2S4,2.162857,3.090945,2.404743,3.344227
Ag1Nb1Rb2Se4,1.749904,2.57987,2.072245,2.902645
Ag1Nb3O8,1.515914,2.848962,2.467427,3.841339
Ag1O1,0.086185,0.856,1.056201,2.016866
Ag1O1Rb1,1.397799,2.71851,3.173673,4.525683
Ag1O2Rh1,0.584586,2.109262,2.877751,4.71154
Ag1O2Sc1,2.140471,3.533055,4.247613,5.882611
Ag1O3P1,1.9878809999999998,3.788802,3.536092,5.418666
Ag1O3Sb1,0.062953,1.672013,2.651605,4.315052
Ag1O3Ta1,1.813109,3.163197,3.423898,4.948635
Ag1O3Te1,1.3517859999999997,2.6544609999999995,1.486376,2.786954
Ag1O3Te1Tl1,2.203174,3.362494,2.584017,3.74096
Ag1O3V1,1.454109,2.386002,1.55354,2.544199
Ag1O4P1Zn1,1.906214,3.558443,4.107621,5.91765
Ag1O4Re1,1.818905,3.077374,2.665966,3.948513
Ag1O4Tc1,1.692419,2.925856,2.469453,3.669333
Ag1O5Se1V1,0.88018,1.564451,1.201651,1.955682
Ag1O5Te1V1,2.217346,3.214169,2.366679,3.381567
Ag1O6Tl1V2,2.085333,3.206957,2.19658,3.299203
Ag1P15,1.104804,1.774323,1.512057,2.215332
Ag1P1Rb2S4,2.181523,3.297518,2.606774,3.761333
Ag1P1S3,1.253879,2.2778259999999997,2.215406,3.255802
Ag1P1S4Zn1,2.280524,3.366781,2.370792,3.475577
Ag1P1Sr1,0.10425299999999993,0.8444249999999993,0.10425299999999993,0.8444249999999993
Ag1P2,0.750842,1.378546,1.022793,1.639075
Ag1P2S6Sc1,1.971702,3.090082,2.156872,3.090082
Ag1P2Sc1Se6,1.551414,2.492782,1.77933,2.796371
Ag1P2Se6V1,0.521741,1.161688,0.521741,1.161688
Ag1Pb1S3Sb1,1.051429,1.557504,1.172939,1.707826
Ag1Rb1Se4,1.124579,1.949364,1.136087,1.951208
Ag1Rb2S4Sb1,1.372531,2.45492,1.372531,2.45492
Ag1Rb2S4Ta1,2.533296,3.462573,2.776713,3.725538
Ag1Rb2S4V1,1.553317,2.296546,1.799982,2.478683
Ag1Rb2Se4V1,1.236178,1.753126,1.523105,2.101251
Ag1Rb3Se8Sn3,1.145202,2.013179,1.555049,2.395147
Ag1S1Tl1,0.0,0.589562,0.0,0.589562
Ag1S2Sb1,1.307521,2.0707619999999993,2.067235,2.951799
Ag1S3Ta1,0.0,0.415099,0.0,1.188163
Ag1S4Ta1Tl2,1.893101,2.736992,2.129269,2.934209
Ag1Sc1Se2,0.622488,1.5460120000000002,1.409501,2.507251
Ag1Se1Tl1,0.494083,1.0696770000000004,2.223659,2.856583
Ag1Se2Y1,1.2304019999999998,2.0744439999999997,1.2304019999999998,2.0744439999999997
Ag1Te1Tl1,0.616888,1.1175189999999997,2.084352,2.667307
Ag1Te2Tl3,0.432429,0.818936,0.78694,1.230046
Ag1Te2Y1,0.8573310000000003,1.5250240000000002,1.121922,1.728671
Ag2Al2Bi2Cl8S3,1.832409,2.785359,1.95909,2.950002
Ag2As1Cs1S3,1.668981,2.533825,1.918058,2.822704
Ag2As1K1O4,0.16608,1.711205,4.032549,5.798379
Ag2As1O6V1,1.359168,2.385534,1.770742,2.845366
Ag2As1S2,0.5023819999999999,1.314572,1.129831,1.892812
Ag2Ba1Cu1O8V2,1.018042,2.851663,1.295575,3.237568
Ag2Ba1Ge1S4,0.582922,1.633857,3.058047,4.096073
Ag2Ba1Ge1Se4,0.113063,0.962017,2.078889,0.962017
Ag2Ba1Hg2O4,1.210807,2.105166,2.053285,3.086495
Ag2Ba1Mn1O8V2,2.469453,3.400922,2.777465,3.400922
Ag2Ba1S2,0.8669199999999999,1.9393440000000002,0.8669199999999999,1.9393440000000002
Ag2Ba1S4Sn1,0.452931,1.366827,2.267293,3.173193
Ag2Ba1Se4Sn1,0.085954,0.862569,1.797164,2.608583
Ag2Ba1Te2,0.6606369999999995,1.3592839999999997,0.6606369999999995,1.3592839999999997
Ag2Bi1Cs1S3,1.001029,1.683501,2.008044,2.790736
Ag2Bi1O3,0.480542,1.129547,0.480542,1.129547
Ag2Bi2Cl2S3,1.624135,2.501266,2.172158,3.052669
Ag2Br1N1O3,1.59643,3.176511,2.751738,4.256977
Ag2Br6Hg7P8,0.709231,1.445563,1.870453,2.683838
Ag2C1N2,1.102893,2.184969,1.102893,2.184969
Ag2C1O3,0.798446,2.225142,0.798446,2.225142
Ag2C2O4,2.138669,3.823517,2.865186,4.611514
Ag2C4Cs1Cu1N4,2.690566,3.606686,3.01289,3.958919
Ag2C4Cu1K1N4,2.536634,3.3630050000000002,3.253039,4.190009
Ag2C4Cu1N4Rb1,2.6941680000000003,3.600362,3.183867,4.141602
Ag2C5Fe1N6O1,1.4420350000000002,2.7670570000000003,1.468913,2.774573
Ag2Ca1O12V4,1.899609,2.8726,1.919388,2.8726
Ag2Cd1Ge1S4,0.73837,1.824434,0.73837,1.824434
Ag2Cd1I4,1.797742,2.886769,1.797742,2.886769
Ag2Cl1N1O3,1.682294,3.296601,2.636899,4.155381
Ag2Cl4Pd1,1.087724,2.4244,1.36691,2.687178
Ag2Cr1O4,1.218978,2.153293,1.379659,2.371813
Ag2Cr2O7,1.298976,2.263689,1.513471,2.48344
Ag2Cs1I3,2.260207,3.314453,2.260207,3.314453
Ag2Cs2S4Ti1,1.525452,2.204082,1.839867,2.7898
Ag2Cs2Te4Zr1,1.423772,2.062371,2.121657,2.802356
Ag2Cs3S8Sb3,0.966014,1.841762,1.5051,2.401557
Ag2Cu1N4O12,1.055572,2.978371,1.16896,3.112927
Ag2Cu2O3,0.438332,2.0495340000000004,1.185221,2.0495340000000004
Ag2F14Zn1Zr2,0.291498,0.85725,4.831957,6.264574
Ag2F1H2I1O1,1.343308,2.51476,3.328233,4.482771
Ag2F1O3P1,1.104789,2.777439,3.521517,5.285895
Ag2Fe1K1O8V2,1.728862,2.867273,1.867408,3.065416
Ag2Fe1O8Rb1V2,1.761256,2.907763,1.898959,3.100797
Ag2Fe1S4Si1,1.655191,2.655924,2.0743,3.104435
Ag2Ge1In2S6,0.867832,1.936037,0.867832,1.936037
Ag2Ge1In2Se6,0.371746,1.281025,0.371746,1.281025
Ag2Ge1K2S4,1.616284,2.646125,1.616284,2.646125
Ag2Ge1K2Se4,1.033186,1.880177,2.365473,3.323284
Ag2Ge1O3,0.234174,1.239655,2.058061,3.434036
Ag2Ge1O4Zn1,0.346926,1.825308,3.355017,5.065772
Ag2Ge1Pb1S4,1.362426,2.282968,1.499952,2.327068
Ag2Ge1Rb2S4,1.880788,2.954077,2.798908,3.960737
Ag2Ge1S3,0.385788,1.402822,1.95977,3.020099
Ag2H1O4P1,1.303072,2.874943,2.970468,4.591955
Ag2H2Li1O10P3,2.503849,4.306001,3.878467,5.724013
Ag2H3I1O6,0.6868779999999997,2.365721,3.753863,5.633626
Ag2H4O6Te1,0.662986,2.127276,0.662986,2.127276
Ag2H6N2O6Pd1S2,1.7887749999999998,3.1733640000000003,2.437842,3.762045
Ag2Hf1S3,1.133092,1.9750549999999993,1.636538,2.670259
Ag2Hg1I2S1,1.175465,2.213423,1.175465,2.213423
Ag2Hg1I4,1.176696,2.153297,1.176696,2.153297
Ag2Hg1O2,0.436652,1.309485,0.436652,1.309485
Ag2Hg1S2,0.412994,1.3364869999999995,2.258873,3.222818
Ag2Hg1Se4Sn1,0.021041,0.533597,0.943471,0.533597
Ag2Hg2O12Te3,0.207128,1.19755,0.207128,1.19755
Ag2Hg7I6P8,0.654831,1.305034,1.754557,2.540061
Ag2I4Zn1,2.11865,3.174983,2.11865,3.174983
Ag2I6O18Ti1,2.241355,3.640956,2.416838,3.832262
Ag2In2S6Si1,0.927172,1.996988,0.927172,1.996988
Ag2In2Se6Si1,0.436412,1.353568,0.436412,1.353568
Ag2K1Nb1Se4,1.378359,2.146425,1.623908,2.341156
Ag2K1P1S4,1.186324,2.339999,3.212282,4.26624
Ag2K1S3Sb1,1.695903,2.575568,2.013067,2.958384
Ag2K1S4Sb1,0.569667,1.610489,2.941497,4.020136
Ag2K1Se4Ta1,1.667049,2.454055,1.857608,2.654566
Ag2K2Se4Sn1,0.796822,1.645592,0.796822,1.645592
Ag2La2O10Ti3,1.713287,3.104871,3.19279,4.893492
Ag2Mn1O8Sr1V2,1.899865,2.90992,2.364699,3.186391
Ag2Mo1O12Te4,1.827431,2.915628,1.912055,3.01689
Ag2Mo1O4,1.91048,3.490969,1.91048,3.498304
Ag2Mo2O7,1.482791,2.591079,1.635976,2.741298
Ag2Mo3O16Te3,1.772596,3.03254,1.94788,3.200606
Ag2Nb4O11,2.315914,3.704959,2.509941,3.898079
Ag2O1,0.0,1.121675,0.0,1.121675
Ag2O11Ta4,2.367201,4.100783,2.790435,4.267409
Ag2O11Te4,0.860057,1.870719,1.395933,2.605464
Ag2O11V4,0.947955,1.585619,1.628092,2.417414
Ag2O12Sr1V4,1.961104,3.045519,1.961104,3.045519
Ag2O2,0.087616,0.846208,1.545641,2.671676
Ag2O2Pb1,1.12122,2.102152,2.202654,3.252835
Ag2O2Pd1,0.027888,1.145458,2.681258,4.047704
Ag2O3,0.398582,1.776609,1.274072,2.784371
Ag2O3S1,2.211667,3.5437,2.706894,4.069549
Ag2O3Se1,1.667216,3.122742,1.667216,3.122742
Ag2O3Si1,0.871489,2.182569,2.715827,4.18974
Ag2O3Te1,1.673657,3.109046,2.498316,3.836334
Ag2O3Ti1,1.238543,2.545708,1.873431,3.135481
Ag2O4S1,1.248019,3.031638,3.361714,5.228617
Ag2O4Se1,0.159935,1.84802,2.706516,4.605061
Ag2O4Si1Zn1,0.737352,2.269231,3.690944,5.41667
Ag2O6P1V1,1.623959,2.678355,2.07069,3.151381
Ag2O6Sb2,0.060251,1.675186,2.649374,4.316588
Ag2O6Te2,1.223917,2.494537,2.830924,4.39452
Ag2O7P2Pb1,2.361495,4.033985,4.00919,5.608939
Ag2O7P2Pd1,1.196688,3.04552,1.750356,3.680845
Ag2O7S2,2.408543,4.323809,4.312493,6.337142
Ag2O7Te2,0.0,0.28418,0.0,0.28418
Ag2O7W2,1.324139,2.614495,2.020279,3.244542
Ag2Rb1S4Sb1,0.594662,1.640306,1.018117,2.03046
Ag2S1,0.0,0.245883,0.0,2.046154
Ag2S3Si1,1.317879,2.470208,2.159205,3.220137
Ag2S3Te1,1.262155,2.131638,1.503766,2.479001
Ag2S4Si1Zn1,1.790905,2.919359,3.185115,4.330219
Ag2S4Sn1Zn1,0.240682,1.217172,0.240682,1.217172
Ag2Se1,0.0,0.08121,0.0,0.269275
Ag3As1O4,0.0,1.065766,0.0,3.880361
Ag3As1S3,1.134119,1.9538949999999997,1.802898,2.686242
Ag3As1S4,0.302014,1.3277520000000003,0.302014,1.3277520000000003
Ag3As1Se3,0.729594,1.4330439999999998,1.302308,2.002856
Ag3As2K3,1.197415,1.8154789999999998,1.197415,1.8154789999999998
Ag3Au1Se2,0.03858,0.8922460000000001,0.03858,0.8922460000000001
Ag3Au1Te2,0.116778,0.6295589999999995,1.488083,1.588342
Ag3B1O3,0.867748,2.194885,2.134605,3.547377
Ag3Br1S1,0.05107,1.0051460000000003,1.803315,2.992453
Ag3C1N3O6S1,2.074056,3.528516,2.610088,4.103382
Ag3C6Cd1N6Rb1,2.727376,3.94695,2.727376,3.94695
Ag3C6Fe1N6,0.0,2.263035,0.0,2.263035
Ag3C6K1Mn1N6,2.362067,3.439095,2.362067,3.439095
Ag3C6K2N6Na1,2.664786,3.900177,2.664786,3.900177
Ag3Cl1Cr1O4,1.223936,2.181977,1.725785,2.600692
Ag3Co2O6Sb1,0.366784,1.48577,1.97891,1.48577
Ag3Cs1S2,0.452824,1.3764939999999997,1.375055,2.359635
Ag3Cs1Se2,0.19644,1.024015,1.50033,2.389914
Ag3Cu1S2,1.066914,1.9467050000000006,1.325059,2.143841
Ag3F14Hf2,0.0,0.84505,0.0,1.259026
Ag3F6Na3O6W2,2.352382,3.915562,3.012763,4.401025
Ag3F8,0.277618,2.302602,0.553578,2.728017
Ag3Fe1O8V2,1.410702,2.487261,1.596855,2.729527
Ag3Ge3P6Sn2,0.219952,0.488279,0.442346,0.712286
Ag3Ge5P6,0.567158,0.9147989999999995,0.971853,1.320378
Ag3I1S1,0.636645,1.6699960000000003,2.188061,3.094945
Ag3In1O8P2,1.274639,2.877482,4.38179,6.217256
Ag3In2O12P3,0.946923,2.686521,2.115561,3.862644
Ag3K1S2,1.324563,2.2778039999999997,1.324563,2.2778039999999997
Ag3K1Se2,0.0,0.756635,0.0,2.496813
Ag3K1Te2,0.207591,0.886081,1.263001,1.989631
Ag3K3Nb2S8,1.953632,2.837173,2.067946,2.964022
Ag3K3S8Ta2,2.297443,3.194718,2.444269,3.354382
Ag3K3Se8Ta2,1.882529,2.669727,2.038091,2.837563
Ag3Li1O2,0.782787,1.841594,0.782787,1.841594
Ag3N1O3S1,1.236927,2.461094,2.241915,3.511838
Ag3N1O3Se1,0.552346,1.719867,2.182452,3.61028
Ag3N5O6,2.120879,3.565115,2.120879,3.565115
