material formula,Band_gap_GGA,Band_gap_HSE,Band_gap_GGA_optical,Band_gap_HSE_optical
Cs1F5Pd2,0.274502,2.421816,0.3175,2.421816
Cs1F6Fe2,1.147554,1.329327,1.17673,1.355098
Cs1F6O18S6Sb1,2.631889,4.196756,6.263278,8.217053
Cs1F6Ru1,1.187596,3.723032,1.187596,3.788517
Cs1Fe1I4,0.9550260000000002,2.001236,1.090542,2.032307
Cs1Fe1Mo2O8,2.2371119999999998,3.551906,2.276809,3.586939
Cs1Fe1O2,3.432731,4.999271,3.630987,4.999271
Cs1Fe1O8S2,2.15189,3.486345,2.301574,3.688124
Cs1Ga1S3,2.446698,3.606102,2.725809,3.922295
Cs1Ga1Se3,1.633776,2.649137,2.013397,3.037137
Cs1Ga1Te2,1.28607,2.0315570000000003,1.28607,2.0315570000000003
Cs1Ga3,0.034127999999999936,0.31812799999999974,0.768938,1.108664
Cs1Ga3S5,2.653091,3.797142,3.21873,4.358435
Cs1Ge1I3,0.9339770000000001,1.340255,0.9339770000000001,1.340255
Cs1Ge1S5Ta1,0.963119,1.649701,2.066854,2.833523
Cs1Ge2Na1,0.938053,1.458069,1.306571,1.776669
Cs1H1,2.226093,3.149353,2.226093,3.149353
Cs1H1O10P3V1,1.987707,3.062715,2.21831,3.062715
Cs1H1O2S1,3.980562,5.37586,5.311143,6.753033
Cs1H1O7S2,5.426304,7.331619,5.426304,7.331619
Cs1H2N1O3S1,5.237095,6.96428,6.382844,8.124599
Cs1H2O4P1,5.262213,6.996327,7.055628,8.776991
Cs1H3N1P2,1.9865119999999998,2.541456,1.9865119999999998,2.541456
Cs1H4Li1N2,2.254678,3.696728,3.845584,5.296792
Cs1H4O5Sb1,3.310798,5.097507,4.948053,6.919219
Cs1H5N2,2.172729,3.403021,2.172729,3.403021
Cs1H6Li2N3,0.534979,1.590019,0.929195,2.058231
Cs1Hg1La1Se3,1.43465,2.284762,1.43465,2.284762
Cs1Hg1Se3Y1,1.393533,2.271762,1.393533,2.271762
Cs1I1,3.871615,4.83487,3.871615,4.83487
Cs1I1Mo1O6,2.27715,3.372328,2.27715,3.372328
Cs1I1O4,2.510582,4.363029,3.039503,4.9684
Cs1I3,1.852982,2.713494,1.96889,2.850754
Cs1I3Mn1,3.051285,3.948685,3.051285,4.439615
Cs1I3O13V2,1.808495,2.5390099999999998,1.886185,2.609164
Cs1I3Pb1,1.444688,1.94832,1.444688,1.94832
Cs1I3Sn1,0.423813,0.76336,0.423813,0.76336
Cs1I3V1,2.787602,3.62066,2.89563,3.742756
Cs1I4In1,2.047913,3.017226,2.240637,3.2233
Cs1I4Tl1,0.979138,1.7740509999999998,1.180649,1.98052
Cs1I6Ta1,1.0338579999999997,1.7158639999999998,1.139167,1.796506
Cs1In1S2,2.178535,3.191308,2.785012,3.191308
Cs1In1Se2,1.610933,2.522587,2.24266,3.175748
Cs1In1Te2,1.341101,2.082983,1.341101,2.082983
Cs1In3O5,1.434495,2.787691,4.673096,6.312399
Cs1In5S8,1.299592,2.151942,2.971373,3.956255
Cs1K2Sb1,0.831579,1.430175,0.831579,1.430175
Cs1K5S17Sn5Zn4,1.593989,2.650871,2.104258,3.221857
Cs1La1Nb2O7,1.413561,2.781219,3.857989,5.689976
Cs1La1S2,2.4920220000000004,3.365069,3.702636,4.733511
Cs1La1Te3Zn1,1.662541,2.314133,1.662541,2.314133
Cs1Lu1O8W2,3.236407,4.638396999999999,3.421247,4.841728
Cs1Lu1S2,2.142691,3.113149,3.358145,4.355435
Cs1Mn1O12P4,1.655307,3.141378,1.67339,3.141378
Cs1Mn1O4,2.347574,3.361577,2.477059,3.478222
Cs1Mo1N3O11,2.469064,4.152655,2.582864,4.25327
Cs1Mo1O6P1,2.445802,3.8858420000000002,2.540388,3.999853
Cs1Mo2O13P3,0.755061,2.81187,1.000621,3.080216
Cs1N2Nb1,1.538697,2.372353,2.038919,2.89074
Cs1N3,4.112216,5.318157,5.131138,6.517118
Cs1Na1S1,2.52751,3.488778,3.749942,4.726249
Cs1Na1Se1,2.106062,3.004145,3.474004,4.379867
Cs1Na1Te1,1.999917,2.745124,3.289958,4.096827
Cs1Na3O4Pb1,1.472702,2.845243,1.472702,2.845243
Cs1Nb1O8P2,2.546822,3.790645,3.101988,4.352425
Cs1O10Sr2Ta3,1.979686,3.260711,5.56379,7.143801
Cs1O12Se2Ta3,2.528614,3.919662,2.528614,3.919662
Cs1O12Se2V3,2.326053,3.485362,2.445173,3.591654
Cs1O12Te2V3,2.434784,3.570379,2.522089,3.675008
Cs1O19P5Ti3,2.662792,4.184176,2.833176,4.329923
Cs1O2P1S1,4.068417,5.352587,4.068417,5.352587
Cs1O2Sb1,2.408935,3.399524,3.450509,4.519337
Cs1O2Y1,2.852973,4.204511,3.894131,5.272924
Cs1O3,0.0,0.042338,0.0,0.397955
Cs1O5P1V1,2.841906,4.15628,2.947512,4.262937
Cs1O6Te2,0.667027,1.426145,0.667027,1.426145
Cs1O8P2Sb1,2.994048,4.74049,6.34217,4.846055
Cs1O8S2V1,2.089959,3.222018,3.437996,4.62104
Cs1O8Sb1V2,2.653998,4.010596,2.922866,4.424665
Cs1O8V3,2.072332,3.022681,2.469087,3.461557
Cs1P1Pb1S4,2.43815,3.293629,3.063049,3.940207
Cs1P1Pb1Se4,1.613805,2.466024,1.613805,3.231957
Cs1P1S3,1.912806,2.98374,2.841943,3.959257
Cs1P1S4Sn1,1.971501,2.703338,2.163642,2.885914
Cs1P3Zn4,0.337595,0.795743,0.337595,0.795743
Cs1P7,1.234151,1.960299,1.234151,1.960299
Cs1Pt2Se3,1.039554,1.67051,1.039554,1.67051
Cs1S2Sb1,1.760111,2.571106,2.448839,3.317792
Cs1S3Sn1,1.656552,2.660702,2.401307,3.45306
Cs1S4Sb2,1.1809720000000001,1.8785860000000003,2.052121,2.855411
Cs1S6Sb1,0.880338,1.299022,0.890141,1.301027
Cs1Sb1,0.541416,1.045362,0.541416,1.045362
Cs1Sb1Se2,1.180355,1.882998,1.862205,2.625232
Cs1Sb2Se4,0.9793449999999999,1.5627749999999998,1.736687,2.38809
Cs1Se3Sn1,1.064286,1.897916,1.762639,2.623977
Cs1Se3Te1,0.528577,1.0749819999999999,0.914439,1.452844
Cs1Se3Y1Zn1,2.235574,3.102255,2.674628,3.600063
Cs1Si1Te3,1.14289,1.7693329999999996,1.14289,1.7693329999999996
Cs1Te3Y1Zn1,1.462588,2.173147,1.462588,2.173147
Cs1Te4,0.440415,0.833891,0.637086,1.04509
Cs1Tl1,0.193649,0.415634,0.561875,0.837113
Cs2Cu1F6K1,1.76346,3.844207,1.955785,4.041774
Cs2Cu1Nb1Se4,1.751116,2.581064,2.142225,2.920907
Cs2Cu1O7P2,1.716773,3.813666,1.908077,4.006051
Cs2Cu2S5Sb2,1.419028,2.13655,1.783204,2.502092
Cs2Cu2Sb2Se5,1.062116,1.677768,1.474337,2.095394
Cs2Cu2Se4Ti1,1.591699,2.317761,1.873561,2.804217
Cs2Cu3F12Ti1,1.84895,4.177718,1.8548,4.181205
Cs2Cu3F12Zr1,1.907476,4.157611,2.40326,4.737616
Cs2D4Mg1,2.953018,3.924863,3.94545,4.953612
Cs2D4Pd1,2.95665,4.177549,2.95665,4.177549
Cs2F4Hg1,2.066566,3.79697,6.011063,7.719592
Cs2F6Fe1Tl1,2.432449,3.605393,2.432449,3.605393
Cs2F6K1Mn1,1.575025,3.139372,4.430412,5.328483
Cs2F6Nb1,0.235451,2.275046,0.27006,2.317335
Cs2F6O18Pt1S6,2.323397,3.610095,2.337374,3.654391
Cs2F6Pd1,2.343179,4.367258,2.560469,4.605619
Cs2F6Pt1,2.818408,4.77586,3.075819,5.060509
Cs2F6Tc1,1.868594,4.4452370000000005,1.9491,4.524851
Cs2Fe1O4,1.7118220000000002,3.3122049999999996,1.812339,3.421676
Cs2Fe2K4O5,1.437872,2.635836,2.052007,2.635836
Cs2Ga1Sb2,1.076413,1.6059929999999998,1.406584,1.980941
Cs2Ge1S4,2.271465,3.321253,2.628788,3.744969
Cs2Ge1Se3,1.603524,2.538338,1.826009,2.804912
Cs2Ge1Se4,1.583008,2.491387,1.856689,2.760023
Cs2Ge1Te4,0.48424,0.9403450000000002,0.761613,1.286488
Cs2Ge2S5,2.359826,3.47122,2.627009,3.722602
Cs2Ge2Se5,1.568522,2.497337,1.860736,2.774614
Cs2Ge3O9Sn1,2.503902,4.194183,4.117435,5.963924
Cs2Ge3O9Ti1,2.776094,4.441362,3.005475,4.653836
Cs2H12N6Sn1,2.61804,3.910212,2.61804,3.910212
Cs2H12O16Te3,1.659109,2.7026380000000003,3.158493,4.502503
Cs2H2Hg3I8O1,1.596683,2.507829,1.596683,2.507829
Cs2H6O10S1Te1,2.4367780000000003,4.041413,2.4367780000000003,4.041413
Cs2H6O12Sn1,2.527767,4.356935,3.880858,6.194755
Cs2Hf1I6,2.157573,3.089765,2.200048,3.123516
Cs2Hf1Mo3O12,3.484999,4.898011,3.806354,5.237477
Cs2Hg1I4,1.966683,2.880564,1.966683,2.880564
Cs2Hg1O2,2.112441,3.469507,3.028676,4.254014
Cs2Hg3I8,1.714347,2.634427,1.714347,2.634427
Cs2Hg3S4,1.7151469999999998,2.7165150000000002,2.711513,2.7165150000000002
Cs2Hg3S8Sn2,1.577134,2.524218,2.207184,3.180682
Cs2Hg3Se4,1.166847,2.039717,1.166847,2.039717
Cs2Hg6S7,0.631299,1.413657,1.64249,1.413657
Cs2I4O11,2.891698,4.035335,3.258984,4.444191
Cs2I6O18Zr1,3.319815,4.583183,3.904538,5.271734
Cs2I6Pd1,0.082859,0.718782,1.137044,1.885824
Cs2I6Pt1,0.647339,1.393021,1.667532,2.508374
Cs2I6Sn1,0.200787,0.936289,0.200787,0.936289
Cs2I6Te1,1.36219,2.131113,1.974766,3.241839
Cs2I8,1.752856,2.560606,1.806361,2.621123
Cs2In1Na3O4,2.066152,3.444185,3.195681,4.646801
Cs2In3,0.010232,0.154795,0.374462,0.626508
Cs2Ir1Na2O4,0.239851,2.14307,0.239851,2.14307
Cs2K2O5Te1,2.021483,3.584548,2.582744,4.187629
Cs2Li1Mn1O4,1.792561,3.298854,2.072946,3.622597
Cs2Li1Nb1S4,2.458689,3.393252,2.62565,3.581441
Cs2Li1S4V1,1.870961,2.644415,1.870961,2.644415
Cs2Mn1O4,0.594004,1.980298,0.594004,1.980298
Cs2Mn1P2Se6,1.691968,2.54842,1.941066,2.710622
Cs2Mn1S2,2.728973,3.616848,3.484875,4.364
Cs2Mn1S6Te2,1.8458,2.612198,2.047422,2.86347
Cs2Mn3Se4,1.7673120000000002,2.484739,1.7673120000000002,2.484739
