smiles,ΔfH°(298.15 K)
C=C1C(=C)C1=C,104.73
C=C1C=CC=C1,52.32
C=C1C=CC1=C,80.6
C=CC#CC=C,83.63
c1ccccc1,20.63
CC#CC#CC,88.34
CC(C#C)C#C,102.78
CC=C=CC#C,97.18
CCC#CC#C,94.46
COCOO,-70.64
[C]1=CCC=CC1,82.92
[CH]=C/C=C/C=C,98.21
[CH]=C/C=C\C=C,99.67
[CH2]C(=C1C=C1)C,113.7
C/C=C/[CH]C#C,82.11
C/C=C\[CH]C#C,82.84
C[C](C#C)C=C,81.79
C[C]1C=CC=C1,52.8
C[CH]C=C1C=C1,114.38
C=C[C@@H]1[CH]C=C1,94.95
C=C[CH]C1C=C1,109.72
C=CC1=CC[CH]1,90.85
CC#C[CH]C=C,79.78
CC=[C]C#CC,99.38
C#CC=C(C)C,51.3
C#CC1(C)CC1,62.68
C/C=C/C#CC,50.96
C/C=C/C=C=C,52.43
C/C=C/C1=CC1,70.9
C/C=C/C1C=C1,76.08
C/C=C\C#CC,50.46
C/C=C\C=C=C,53.5
C/C=C\C1=CC1,75.22
C/C=C\C1C=C1,77.23
C=C/C=C/C=C,39.41
C=C/C=C\C=C,40.96
C=C=C1CCC1,62.75
C=C=CC(=C)C,51.78
C=CC(=C)C=C,43.44
C=CC=C=CC,53.24
C=CC1(C)C=C1,75.43
CC#CC(=C)C,50.74
CC1=CC(=C1)C,81.14
CC1=CC=C1C,81.67
CCC1=CC=C1,86.93
[CH]=CCCC=C,78.9
[CH2]C(=C1CC1)C,65.02
[CH2]C/C=C/C=C,62.91
[CH2]C/C=C\C=C,64.16
[CH2]C=C(C=C)C,40.02
[CH2]C=C/C=C\C,46.5
[CH2]C=CC=CC,40.05
[CH2]CC(=C)C=C,63.06
C[CH]C(=C)C=C,47.27
C[CH]C=C1CC1,65.28
C=C[C](C=C)C,38.21
C=C[CH]/C=C/C,38.4
C=C[CH]/C=C\C,39.11
C=C[CH]C(=C)C,38.88
C=CC[CH]C=C,52.33
C=CCC(=C)[CH2],51.66
C=CCC[C]=C,74.66
CC#C[C](C)C,56.53
CC(C1=C[CH]1)C,92.94
CC[C@@H]1[CH]C=C1,64.93
CCC1=C([CH]1)C,88.59
CCCC#C[CH2],62.58
CCCCC#[C],111.72
C#CC(C)(C)C,25.33
C/C=C(/C=C)\C,11.4
C/C=C(\C=C)/C,11.86
C/C=C/C(=C)C,10.08
C/C=C/C=C/C,10.54
C/C=C\C(=C)C,13.97
C/C=C\C=C/C,13.06
C/C=C\C=C\C,11.78
C=CC(=C)C=O,0.02
C=CC(=O)C=C,-0.56
C=CC(C=C)C,18.72
