smiles,ΔfH°(298.15 K)
C=C/C=C\C#C,85.15
C=CC#CC=C,83.63
C1CC=C1C#C,92.51
CC#CC#CC,88.34
CC(C#C)C#C,102.78
CC=C=CC#C,97.18
CCC#CC#C,94.46
COCOO,-70.64
[CH]=C/C=C/C=C,98.21
[CH]=C/C=C\C=C,99.67
C/C=C/[CH]C#C,82.11
C/C=C\[CH]C#C,82.84
C[C](C#C)C=C,81.79
CC#C[CH]C=C,79.78
CC=[C]C#CC,99.38
C#CC=C(C)C,51.3
C/C=C/C#CC,50.96
C/C=C/C=C=C,52.43
C/C=C\C#CC,50.46
C/C=C\C=C=C,53.5
C=C/C=C/C=C,39.41
C=C/C=C\C=C,40.96
C=C=CC(=C)C,51.78
C=CC(=C)C=C,43.44
C=CC=C=CC,53.24
C=CC1(C)C=C1,75.43
CC#CC(=C)C,50.74
CC1=CC(=C1)C,81.14
CCC(=C)C#C,55.79
[CH]=CCCC=C,78.9
[CH2]C/C=C/C=C,62.91
[CH2]C/C=C\C=C,64.16
[CH2]C=C(C=C)C,40.02
[CH2]C=C/C=C\C,46.5
[CH2]C=CC=CC,40.05
[CH2]CC(=C)C=C,63.06
[CH2]CCC=C=C,77.0
[CH2]CCCC#C,78.55
C[CH]C(=C)C=C,47.27
C[CH]C=C1CC1,65.28
C=C[C](C=C)C,38.21
C=C[CH]/C=C/C,38.4
C=C[CH]/C=C\C,39.11
C=C[CH]C(=C)C,38.88
C=CC[CH]C=C,52.33
C=CCC(=C)[CH2],51.66
C=CCC[C]=C,74.66
CC#C[C](C)C,56.53
CC(=C=C)C[CH2],74.39
CC(C1=C[CH]1)C,92.94
CC[CH]C#CC,60.37
CC1=C([C]1C)C,85.16
CCC[CH]C#C,65.49
CCC=C=C[CH2],61.96
CCCC#C[CH2],62.58
CCCCC#[C],111.72
C#CC(C)(C)C,25.33
C/C=C(/C=C)\C,11.4
C/C=C(\C=C)/C,11.86
C/C=C/C(=C)C,10.08
C/C=C/C=C/C,10.54
C/C=C\C(=C)C,13.97
C/C=C\C=C/C,13.06
C/C=C\C=C\C,11.78
C=CC(C=C)C,18.72
C=CC/C=C/C,17.83
C=CC/C=C\C,18.99
C=CC=C(C)C,11.63
C=CC=CC=O,-2.61
C=CCCC=C,20.15
CC(=C)C(=C)C,11.3
CC(=O)CC#C,10.13
CC(C#C)C=O,15.67
CC/C=C/C=C,13.58
CC/C=C\C=C,14.76
CC=C(C=C)C,12.15
CC=CC(=C)C,10.79
CC=CC=CC,11.41
CCC#CCC,25.53
CCC(=C)C=C,13.58
CCC=CC=C,14.31
CCC1(C)C=C1,46.75
CCCC#CC,24.86
CCCC=C=C,28.11
CCCC1C=C1,50.12
CCCCC#C,29.79
O=CC=C=CC,9.68
[CH2]C/C(=C/C)/C,34.36
[CH2]C/C(=C\C)/C,34.35
[CH2]C=CC(C)C,19.98
[CH2]CC/C=C/C,36.32
[CH2]CC/C=C\C,37.41
[CH2]CCC(=C)C,35.36
[CH2]CCCC=C,38.81
C/C=C/[C](C)C,15.04
C/C=C\[C](C)C,18.32
C[C@@H](C=C)C[CH2],37.06
C[C]=CC(C)C,40.8
C[CH]C(=CC)C,17.77
C[CH]C/C=C/C,33.67
C[CH]C/C=C\C,34.89
C[CH]CC(=C)C,32.47
C[CH]CCC=C,35.92
C=CC[C](C)C,32.24
C=CCC([CH2])C,37.3
CC([C]1CC1)C,47.82
CC(=C)[C](C)C,16.49
CC(=C)C([CH2])C,34.44
CC(=O)C([C])C,-28.57
CC/C=C/[CH]C,18.75
CC[CH]/C=C/C,19.23
CC[CH]/C=C\C,21.92
CC=C[C](C)C,15.59
CCC/C=C\[CH2],21.77
CCC[CH]C=C,21.29
CCC=C[CH]C,19.42
CCCC=C[CH2],21.85
C/C(=C(/C)\C)/C,-16.3
C/C=C/C(C)C,-14.65
C/C=C\C(C)C,-13.64
C[C@H](C=C)CC,-12.23
C=CC(C)(C)C,-14.31
C=CC(C=O)C,-25.12
C=CCC(C)C,-12.05
C=CCCC=O,-23.98
CC(=C(C)C)C,-16.38
CC(=C)C=CO,-22.76
CC(=O)C(=C)C,-35.91
CC(C=C)CC,-11.78
CC(C=C=O)C,-28.38
CC/C(=C/C)/C,-14.99
CC/C(=C\C)/C,-15.0
CC/C=C/CC,-12.67
CC/C=C\CC,-11.55
CC=C(C=O)C,-33.44
CC=CC(=O)C,-35.11
CC=CC(C)C,-14.09
