smiles,ΔfH°(298.15 K)
[CH2][C@H]1C[C@@H]1C,47.03
[CH2]C/C=C/C,41.82
[CH2]C/C=C\C,43.03
[CH2]C1(C)CC1,44.38
[CH2]C1CCC1,46.95
[CH2]CC(=C)C,40.61
[CH2]CCC=C,43.93
C[C@@H]1[CH][C@@H]1C,56.35
C[C@@H]1[CH][C@H]1C,55.74
C[C@H]1C[C]1C,52.74
C[C]1CCC1,44.27
C[CH]/C=C/C,23.56
C[CH]C(=C)C,24.14
C[CH]C=CC,24.29
C[CH]C1CC1,45.08
C[CH]CC=C,41.26
C=C[C](C)C,23.04
C1[CH]C=CO1,12.30
C1CC=[C]O1,46.52
CC/C=C/[CH2],26.48
CC/C=C\[CH2],26.97
CC[C]1CC1,54.90
CC=C([CH2])C,24.55
CC1(C)C[CH]1,54.36
CC1C[CH]C1,46.68
CC1CC[CH]1,47.03
CCC=C[CH2],27.01
CCC1C[CH]1,57.55
O=[C]C1CC1,21.16
O=C1CC[CH]1,20.04
C/C=C(\C)/C,-10.37
C[C@@H]1C[C@@H]1C,-0.47
C[C@H]1C[C@@H]1C,-1.76
C[C@H]1CC1=O,-3.62
C[C]C(=O)C,-19.01
C[C]C(C)C,8.96
C=C[C@@H]1CO1,2.75
C=CC(C)C,-6.62
C=CC1CO1,2.92
C=CCC=O,-18.14
C1CC=CO1,-18.03
C1CCCC1,-18.20
CC(=C)C=O,-25.49
CC(=O)C=C,-26.81
CC/C=C/C,-7.69
CC/C=C\C,-6.73
CC=C(C)C,-9.56
CC=CC=O,-24.75
CC1(C)CC1,-3.15
CC1CCC1,-1.99
CCC(=C)C,-8.54
CCC=C=O,-21.04
CCC=CC,-7.12
CCC1CC1,0.12
CCCC=C,-5.10
O=C=C(C)C,-21.42
O=C1CCC1,-22.76
O=CC=C=O,-40.58
O1CC=CC1,-15.02
OC=CC=C,-14.55
OCC=C=C,3.59
[CH]1CCCO1,-1.80
[CH]1COC1=O,-19.31
[CH2]C(C)(C)C,9.61
[CH2]CC(C)C,12.01
[CH2]CCCC,14.02
C[CH]C(C)C,9.63
C1[CH]OC1=O,-17.93
C1C[CH]CO1,2.67
CC[CH]CC,11.35
CCC([CH2])C,12.81
CCC[CH]C,11.01
C[C@@H]1O[C@@H]1C,-31.47
C[C@H]1O[C@@H]1C,-32.66
C=C1OCO1,-36.74
C1CCCO1,-43.67
C1COC1=O,-70.44
C1OC1C=O,-39.55
CC(=C)CO,-38.56
CC(=C=O)O,-45.09
CC(C=C)O,-39.36
CC[C@@H]1CO1,-27.54
CC=C(O)C,-45.08
CC=CCO,-37.53
CC1CCO1,-30.13
CC1COC1,-26.57
CC1OC1C,-31.42
CCC(=C)O,-44.73
CCC(=O)C,-56.89
CCC(C)C,-36.42
CCC=CO,-40.44
CCC1CO1,-27.53
CCCC=O,-49.43
CCCCC,-34.69
O=CC(=O)C,-65.53
O=CC(C)C,-51.04
O=CCC=O,-60.84
OC(=C)C=O,-62.52
OC=C(C)C,-43.32
OC1CCC1,-35.00
