/root/miniconda3/envs/subset/lib/python3.9/site-packages/torch/nn/modules/transformer.py:508: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at /pytorch/aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
--- DTA Baseline: Hard Random (Ratio: 0.8) ---

>>> [Stage 0] Sampling...

[Sampler] Running Hard Random | Target: 19964/24956 (80.0%)
-> Source reduced: 24956 -> 19964

[P1] Ep 94: Loss 0.3364 | Val MAE 1.6523
[P1] Ep 95: Loss 0.3400 | Val MAE 1.5749
[P1] Ep 96: Loss 0.3341 | Val MAE 1.7450
[P1] Ep 97: Loss 0.3272 | Val MAE 1.6911
[P1] Ep 98: Loss 0.3252 | Val MAE 1.7558
[P1] Ep 99: Loss 0.3192 | Val MAE 1.5964
[P1] Ep 100: Loss 0.3186 | Val MAE 1.7075
[P1] Ep 101: Loss 0.3199 | Val MAE 1.7223
[P1] Ep 102: Loss 0.3183 | Val MAE 1.6234
[P1] Ep 103: Loss 0.3200 | Val MAE 1.6928
[P1] Ep 104: Loss 0.3060 | Val MAE 1.6806
[P1] Ep 105: Loss 0.3032 | Val MAE 1.8616
[P1] Ep 106: Loss 0.3032 | Val MAE 1.6885
[P1] Ep 107: Loss 0.2966 | Val MAE 1.6688
[P1] Ep 108: Loss 0.2990 | Val MAE 1.5933
[P1] Ep 109: Loss 0.2956 | Val MAE 1.5320
[P1] Ep 110: Loss 0.2897 | Val MAE 1.7629
[P1] Ep 111: Loss 0.2880 | Val MAE 1.6867
[P1] Ep 112: Loss 0.2841 | Val MAE 1.7297
[P1] Ep 113: Loss 0.2817 | Val MAE 1.5849
[P1] Ep 114: Loss 0.2805 | Val MAE 1.6518
[P1] Ep 115: Loss 0.2780 | Val MAE 1.7422
[P1] Ep 116: Loss 0.2742 | Val MAE 1.7655
[P1] Ep 117: Loss 0.2669 | Val MAE 1.6067
[P1] Ep 118: Loss 0.2639 | Val MAE 1.6345
[P1] Ep 119: Loss 0.2669 | Val MAE 1.4904
[P1] Ep 120: Loss 0.2648 | Val MAE 1.5520
[P1] Ep 121: Loss 0.2609 | Val MAE 1.6303
[P1] Ep 122: Loss 0.2589 | Val MAE 1.5110
[P1] Ep 123: Loss 0.2596 | Val MAE 1.5799
[P1] Ep 124: Loss 0.2571 | Val MAE 1.5932
[P1] Ep 125: Loss 0.2490 | Val MAE 1.7425
[P1] Ep 126: Loss 0.2479 | Val MAE 1.6601
[P1] Ep 127: Loss 0.2484 | Val MAE 1.7210
[P1] Ep 128: Loss 0.2453 | Val MAE 1.7135
[P1] Ep 129: Loss 0.2449 | Val MAE 1.6829
[P1] Ep 130: Loss 0.2436 | Val MAE 1.6147
[P1] Ep 131: Loss 0.2395 | Val MAE 1.7270
[P1] Ep 132: Loss 0.2395 | Val MAE 1.6499
[P1] Ep 133: Loss 0.2347 | Val MAE 1.7490
[P1] Ep 134: Loss 0.2351 | Val MAE 1.6177
[P1] Ep 135: Loss 0.2354 | Val MAE 1.6812
[P1] Ep 136: Loss 0.2320 | Val MAE 1.6950
[P1] Ep 137: Loss 0.2301 | Val MAE 1.6910
[P1] Ep 138: Loss 0.2242 | Val MAE 1.6061
[P1] Ep 139: Loss 0.2251 | Val MAE 1.7029
[P1] Ep 140: Loss 0.2244 | Val MAE 1.7857
[P1] Ep 141: Loss 0.2251 | Val MAE 1.6757
[P1] Ep 142: Loss 0.2220 | Val MAE 1.7003
[P1] Ep 143: Loss 0.2165 | Val MAE 1.7520
[P1] Ep 144: Loss 0.2201 | Val MAE 1.7180
[P1] Ep 145: Loss 0.2083 | Val MAE 1.6622
[P1] Ep 146: Loss 0.2175 | Val MAE 1.6692
[P1] Ep 147: Loss 0.2101 | Val MAE 1.5563
[P1] Ep 148: Loss 0.2146 | Val MAE 1.7224
[P1] Ep 149: Loss 0.2116 | Val MAE 1.7334
[P1] Ep 150: Loss 0.2077 | Val MAE 1.7213
[P1] Ep 151: Loss 0.2063 | Val MAE 1.8900
[P1] Ep 152: Loss 0.2067 | Val MAE 1.6257
[P1] Ep 153: Loss 0.2022 | Val MAE 1.6582
[P1] Ep 154: Loss 0.1996 | Val MAE 1.6829
[P1] Ep 155: Loss 0.1980 | Val MAE 1.6549
[P1] Ep 156: Loss 0.2003 | Val MAE 1.6965
[P1] Ep 157: Loss 0.1990 | Val MAE 1.7923
[P1] Ep 158: Loss 0.1963 | Val MAE 1.7386
[P1] Ep 159: Loss 0.1938 | Val MAE 1.6408
[P1] Ep 160: Loss 0.1902 | Val MAE 1.5799
[P1] Ep 161: Loss 0.1941 | Val MAE 1.6934
[P1] Ep 162: Loss 0.1876 | Val MAE 1.5605
[P1] Ep 163: Loss 0.1884 | Val MAE 1.7144
[P1] Ep 164: Loss 0.1877 | Val MAE 1.7480
[P1] Ep 165: Loss 0.1922 | Val MAE 1.7431
[P1] Ep 166: Loss 0.1849 | Val MAE 1.8162
[P1] Ep 167: Loss 0.1823 | Val MAE 1.6986
[P1] Ep 168: Loss 0.1838 | Val MAE 1.6832
[P1] Ep 169: Loss 0.1778 | Val MAE 1.7486
[P1] Ep 170: Loss 0.1746 | Val MAE 1.8660
[P1] Ep 171: Loss 0.1806 | Val MAE 1.7199
[P1] Ep 172: Loss 0.1766 | Val MAE 1.7905
[P1] Ep 173: Loss 0.1744 | Val MAE 1.8394
[P1] Ep 174: Loss 0.1768 | Val MAE 1.6780
[P1] Ep 175: Loss 0.1753 | Val MAE 1.7786
[P1] Ep 176: Loss 0.1709 | Val MAE 1.8190
[P1] Ep 177: Loss 0.1676 | Val MAE 1.7666
[P1] Ep 178: Loss 0.1708 | Val MAE 1.8061
[P1] Ep 179: Loss 0.1661 | Val MAE 1.6989
[P1] Ep 180: Loss 0.1716 | Val MAE 1.7197
[P1] Ep 181: Loss 0.1694 | Val MAE 1.8133
[P1] Ep 182: Loss 0.1663 | Val MAE 1.7615
[P1] Ep 183: Loss 0.1662 | Val MAE 1.7847
[P1] Ep 184: Loss 0.1642 | Val MAE 1.8189
[P1] Ep 185: Loss 0.1606 | Val MAE 1.8523
[P1] Ep 186: Loss 0.1593 | Val MAE 1.8272
[P1] Ep 187: Loss 0.1601 | Val MAE 1.8051
[P1] Ep 188: Loss 0.1577 | Val MAE 1.7973
[P1] Ep 189: Loss 0.1563 | Val MAE 1.7855
[P1] Ep 190: Loss 0.1520 | Val MAE 1.8612
[P1] Ep 191: Loss 0.1513 | Val MAE 1.8982
[P1] Ep 192: Loss 0.1516 | Val MAE 1.7077
[P1] Ep 193: Loss 0.1511 | Val MAE 1.8176
[P1] Ep 194: Loss 0.1525 | Val MAE 1.7767
[P1] Ep 195: Loss 0.1497 | Val MAE 1.8155
[P1] Ep 196: Loss 0.1484 | Val MAE 1.7737
[P1] Ep 197: Loss 0.1499 | Val MAE 1.8017
